query,intent,entities
Cancel my  appointment for next week March 5th,cancel_test,"{'TIME': 'next week', 'DATE': 'March 5th'}"
Should I fast before my blood test?,medical_query,{}
I want to book a MRI for in two days,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days'}"
I want to book a X-ray for,book_test,{'TEST_TYPE': 'X-ray'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
I want to book a ultrasound for next week,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week'}"
Cancel my  appointment for morning,cancel_test,{'TIME': 'morning'}
I want to book a thyroid test for next week July 15th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'July 15th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Cancel my  appointment for next month September 2nd,cancel_test,"{'TIME': 'next month', 'DATE': 'September 2nd'}"
Cancel my X-ray appointment for evening June 21st,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'evening', 'DATE': 'June 21st'}"
Cancel my  appointment for next month,cancel_test,{'TIME': 'next month'}
Cancel my thyroid test appointment for,cancel_test,{'TEST_TYPE': 'thyroid test'}
Is an ultrasound painful?,medical_query,{}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a cholesterol test for  April 10th,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'April 10th'}"
Can I take my medications before an ECG?,medical_query,{}
How long does a CT scan take?,medical_query,{}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Can I drink coffee before an ultrasound?,medical_query,{}
How long does a CT scan take?,medical_query,{}
Cancel my  appointment for morning September 2nd,cancel_test,"{'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a thyroid test for next month,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a blood test for  September 2nd,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'September 2nd'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a MRI for evening March 5th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening', 'DATE': 'March 5th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a ultrasound for morning June 21st,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'morning', 'DATE': 'June 21st'}"
Retrieve my MRI scan from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'June 21st'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a thyroid test for  July 15th,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'July 15th'}"
Cancel my  appointment for  March 5th,cancel_test,{'DATE': 'March 5th'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
How long does a CT scan take?,medical_query,{}
Cancel my ultrasound appointment for,cancel_test,{'TEST_TYPE': 'ultrasound'}
Cancel my ultrasound appointment for in two days September 2nd,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'in two days', 'DATE': 'September 2nd'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for evening,cancel_test,{'TIME': 'evening'}
I want to book a MRI for  August 30th,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'August 30th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Should I fast before my blood test?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Cancel my  appointment for in two days September 2nd,cancel_test,"{'TIME': 'in two days', 'DATE': 'September 2nd'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
I want to book a X-ray for  June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'June 21st'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my blood test appointment for  April 10th,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'April 10th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my X-ray report from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'April 10th'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I want to book a cholesterol test for  March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'March 5th'}"
Cancel my  appointment for  March 5th,cancel_test,{'DATE': 'March 5th'}
I want to book a CT scan for next month August 30th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next month', 'DATE': 'August 30th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Is an ultrasound painful?,medical_query,{}
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
Cancel my  appointment for next month September 2nd,cancel_test,"{'TIME': 'next month', 'DATE': 'September 2nd'}"
Can I take my medications before an ECG?,medical_query,{}
Cancel my thyroid test appointment for next week September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'September 2nd'}"
I want to book a CT scan for  March 5th,book_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'March 5th'}"
Cancel my  appointment for evening April 10th,cancel_test,"{'TIME': 'evening', 'DATE': 'April 10th'}"
Cancel my  appointment for in two days,cancel_test,{'TIME': 'in two days'}
I want to book a blood test for next month June 21st,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month', 'DATE': 'June 21st'}"
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for next week September 2nd,cancel_test,"{'TIME': 'next week', 'DATE': 'September 2nd'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a blood test for tomorrow April 10th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I want to book a blood test for  July 15th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'July 15th'}"
I want to book a cholesterol test for next week June 21st,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week', 'DATE': 'June 21st'}"
I want to book a ECG for  April 10th,book_test,"{'TEST_TYPE': 'ECG', 'DATE': 'April 10th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my ECG appointment for morning April 10th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'April 10th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for next month July 15th,cancel_test,"{'TIME': 'next month', 'DATE': 'July 15th'}"
Retrieve my discharge summary from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'April 10th'}"
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Cancel my  appointment for morning August 30th,cancel_test,"{'TIME': 'morning', 'DATE': 'August 30th'}"
I want to book a cholesterol test for morning September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
Cancel my ECG appointment for tomorrow March 5th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow', 'DATE': 'March 5th'}"
Should I fast before my blood test?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a X-ray for in two days June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'in two days', 'DATE': 'June 21st'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a thyroid test for in two days September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'in two days', 'DATE': 'September 2nd'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Can I drink coffee before an ultrasound?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
How long does a CT scan take?,medical_query,{}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my prescription from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'September 2nd'}"
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
Retrieve my prescription from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'September 2nd'}"
I want to book a blood test for next week,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I want to book a blood test for  April 10th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'April 10th'}"
I want to book a thyroid test for evening,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'evening'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
How long does a CT scan take?,medical_query,{}
Cancel my  appointment for afternoon July 15th,cancel_test,"{'TIME': 'afternoon', 'DATE': 'July 15th'}"
Retrieve my discharge summary from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'July 15th'}"
Cancel my MRI appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'MRI', 'DATE': 'June 21st'}"
I want to book a X-ray for afternoon August 30th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
What should I wear for an X-ray?,medical_query,{}
Cancel my blood test appointment for  September 2nd,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'September 2nd'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I want to book a cholesterol test for afternoon April 10th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
I want to book a ECG for tomorrow,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
How long does a CT scan take?,medical_query,{}
Retrieve my discharge summary from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'June 21st'}"
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a blood test for next month,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a cholesterol test for morning September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a CT scan for next week March 5th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next week', 'DATE': 'March 5th'}"
Cancel my MRI appointment for morning,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning'}"
I want to book a X-ray for evening March 5th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'evening', 'DATE': 'March 5th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
I want to book a ECG for tomorrow,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow'}"
Cancel my thyroid test appointment for evening,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'evening'}"
Cancel my  appointment for afternoon June 21st,cancel_test,"{'TIME': 'afternoon', 'DATE': 'June 21st'}"
I want to book a cholesterol test for next month September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next month', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
Cancel my ECG appointment for  April 10th,cancel_test,"{'TEST_TYPE': 'ECG', 'DATE': 'April 10th'}"
I want to book a X-ray for night March 5th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'night', 'DATE': 'March 5th'}"
Retrieve my prescription from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'September 2nd'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
I want to book a ultrasound for evening July 15th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening', 'DATE': 'July 15th'}"
Cancel my thyroid test appointment for afternoon July 15th,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon', 'DATE': 'July 15th'}"
Cancel my X-ray appointment for next week,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week'}"
What should I wear for an X-ray?,medical_query,{}
Can I drink coffee before an ultrasound?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Cancel my  appointment for morning March 5th,cancel_test,"{'TIME': 'morning', 'DATE': 'March 5th'}"
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my discharge summary from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'June 21st'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a thyroid test for morning,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'morning'}"
How long does a CT scan take?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
Cancel my  appointment for next month September 2nd,cancel_test,"{'TIME': 'next month', 'DATE': 'September 2nd'}"
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
I want to book a X-ray for morning June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'morning', 'DATE': 'June 21st'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a thyroid test for,book_test,{'TEST_TYPE': 'thyroid test'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my MRI appointment for in two days,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
How long does a CT scan take?,medical_query,{}
Cancel my ultrasound appointment for tomorrow June 21st,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'tomorrow', 'DATE': 'June 21st'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'July 15th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for morning,cancel_test,{'TIME': 'morning'}
Can I drink coffee before an ultrasound?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a ECG for tomorrow April 10th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
I want to book a thyroid test for  September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'September 2nd'}"
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
Cancel my ultrasound appointment for next week September 2nd,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'September 2nd'}"
Cancel my cholesterol test appointment for in two days,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'in two days'}"
Cancel my blood test appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
Cancel my ECG appointment for afternoon,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'afternoon'}"
I want to book a CT scan for next week April 10th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next week', 'DATE': 'April 10th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my discharge summary from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'July 15th'}"
I want to book a thyroid test for afternoon,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon'}"
Cancel my  appointment for afternoon July 15th,cancel_test,"{'TIME': 'afternoon', 'DATE': 'July 15th'}"
Cancel my X-ray appointment for next month March 5th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next month', 'DATE': 'March 5th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Can I take my medications before an ECG?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
I want to book a thyroid test for afternoon April 10th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Cancel my ultrasound appointment for night,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'night'}"
I want to book a CT scan for next month September 2nd,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next month', 'DATE': 'September 2nd'}"
I want to book a ECG for in two days April 10th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'in two days', 'DATE': 'April 10th'}"
Should I fast before my blood test?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my X-ray report from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'March 5th'}"
Cancel my  appointment for night August 30th,cancel_test,"{'TIME': 'night', 'DATE': 'August 30th'}"
Cancel my thyroid test appointment for morning July 15th,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'morning', 'DATE': 'July 15th'}"
Retrieve my discharge summary from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'June 21st'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a MRI for  September 2nd,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'September 2nd'}"
I want to book a MRI for next week August 30th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week', 'DATE': 'August 30th'}"
Can I take my medications before an ECG?,medical_query,{}
Cancel my  appointment for  July 15th,cancel_test,{'DATE': 'July 15th'}
I want to book a cholesterol test for next week August 30th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week', 'DATE': 'August 30th'}"
Cancel my MRI appointment for next month March 5th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next month', 'DATE': 'March 5th'}"
I want to book a X-ray for  April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'June 21st'}"
I want to book a cholesterol test for next week April 10th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week', 'DATE': 'April 10th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
I want to book a ultrasound for next week April 10th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'April 10th'}"
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Cancel my  appointment for next week August 30th,cancel_test,"{'TIME': 'next week', 'DATE': 'August 30th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my blood test appointment for,cancel_test,{'TEST_TYPE': 'blood test'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my prescription from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'July 15th'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a MRI for  July 15th,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'July 15th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for in two days,cancel_test,{'TIME': 'in two days'}
I want to book a cholesterol test for,book_test,{'TEST_TYPE': 'cholesterol test'}
Is it safe to eat before a cholesterol test?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Cancel my X-ray appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'August 30th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for morning September 2nd,cancel_test,"{'TIME': 'morning', 'DATE': 'September 2nd'}"
Should I fast before my blood test?,medical_query,{}
Is an ultrasound painful?,medical_query,{}
I want to book a MRI for next week,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Can I take my medications before an ECG?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Can I drink coffee before an ultrasound?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a ultrasound for evening June 21st,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening', 'DATE': 'June 21st'}"
Cancel my  appointment for tomorrow,cancel_test,{'TIME': 'tomorrow'}
Should I fast before my blood test?,medical_query,{}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a CT scan for,book_test,{'TEST_TYPE': 'CT scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
I want to book a blood test for evening,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'evening'}"
I want to book a ECG for,book_test,{'TEST_TYPE': 'ECG'}
Cancel my  appointment for afternoon July 15th,cancel_test,"{'TIME': 'afternoon', 'DATE': 'July 15th'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a MRI for  August 30th,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'August 30th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my cholesterol test appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'June 21st'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for  July 15th,cancel_test,{'DATE': 'July 15th'}
Cancel my blood test appointment for afternoon April 10th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
I want to book a thyroid test for next month,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month'}"
I want to book a X-ray for  April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'April 10th'}"
